PricingID,DestinationID,Season,Month,BaseCost,DynamicMultiplier,CurrencyCode,LastUpdated
484,41,Low,4,28047,1.24,PKR,2026-05-12
485,41,Low,5,8447,0.95,PKR,2026-05-12
486,41,High,6,17737,1.22,PKR,2026-05-12
487,41,High,7,16151,1.22,PKR,2026-05-12
488,41,High,8,45455,0.81,PKR,2026-05-12
489,41,Medium,9,18050,1.29,PKR,2026-05-12
490,41,Medium,10,10902,1.34,PKR,2026-05-12
491,41,Medium,11,35294,0.94,PKR,2026-05-12
492,41,High,12,20017,1.02,PKR,2026-05-12
493,42,Low,1,7440,0.97,PKR,2026-05-12
494,42,High,2,35737,1.05,PKR,2026-05-12
495,42,High,3,46021,1.22,PKR,2026-05-12
496,42,High,4,47043,0.95,PKR,2026-05-12
497,42,Medium,5,19419,1.32,PKR,2026-05-12
498,42,Low,6,46397,0.82,PKR,2026-05-12
499,42,Low,7,45028,1.48,PKR,2026-05-12
500,42,Low,8,29726,0.95,PKR,2026-05-12
501,42,Low,9,30206,1.44,PKR,2026-05-12
502,42,Medium,10,15159,1.32,PKR,2026-05-12
503,42,High,11,30409,1.38,PKR,2026-05-12
504,42,Low,12,32211,0.8,PKR,2026-05-12
505,43,Medium,1,19114,1.38,PKR,2026-05-12
506,43,High,2,27633,0.9,PKR,2026-05-12
507,43,High,3,36667,1.28,PKR,2026-05-12
508,43,High,4,8719,1.29,PKR,2026-05-12
509,43,High,5,23449,0.92,PKR,2026-05-12
510,43,High,6,48939,0.88,PKR,2026-05-12
511,43,Low,7,29569,1.17,PKR,2026-05-12
512,43,Low,8,32231,0.98,PKR,2026-05-12
513,43,Low,9,45303,1.19,PKR,2026-05-12
514,43,High,10,44005,1.1,PKR,2026-05-12
