WeatherID,DestinationID,Month,AvgTemp,MaxTemp,MinTemp,Rainfall,Humidity,WindSpeed,BestForTourism
71,6,Nov,17,39,7,364.5,62,18.9,No
72,6,Dec,31,32,22,288.9,39,25.0,Yes
73,7,Jan,26,44,21,95.4,64,16.7,No
74,7,Feb,26,26,6,156.7,39,20.1,Yes
75,7,Mar,15,28,8,218.1,60,15.2,No
76,7,Apr,26,34,17,306.0,51,20.9,No
77,7,May,17,44,17,441.6,68,16.3,Yes
78,7,Jun,20,28,19,295.1,34,17.2,Yes
79,7,Jul,23,44,14,59.8,33,7.5,Yes
80,7,Aug,15,41,17,152.7,36,19.5,Yes
81,7,Sep,26,27,19,381.3,62,28.5,Yes
82,7,Oct,16,32,5,294.7,33,14.2,Yes
83,7,Nov,34,33,17,232.2,54,20.9,Yes
84,7,Dec,16,40,24,450.4,56,7.9,No
85,8,Jan,21,27,21,242.1,53,22.6,Yes
86,8,Feb,17,39,22,87.1,61,11.9,Yes
87,8,Mar,34,32,18,50.3,49,10.8,Yes
88,8,Apr,27,25,24,278.4,54,14.8,No
89,8,May,31,37,14,106.2,77,15.0,Yes
90,8,Jun,23,39,17,111.5,74,29.7,Yes
91,8,Jul,27,41,19,208.9,44,18.9,Yes
92,8,Aug,18,27,6,171.7,39,19.3,Yes
93,8,Sep,32,40,15,273.0,41,29.1,Yes
94,8,Oct,32,38,5,498.8,44,13.5,Yes
95,8,Nov,28,25,13,251.4,52,6.1,Yes
96,8,Dec,20,43,24,87.1,32,14.4,No
97,9,Jan,19,41,8,354.4,45,10.4,No
98,9,Feb,15,42,12,126.2,44,29.1,No
99,9,Mar,24,44,10,450.6,63,13.8,No
100,9,Apr,24,28,16,253.2,49,23.6,No
101,9,May,18,31,14,36.5,41,16.3,Yes
102,9,Jun,30,29,23,60.9,55,28.8,No
103,9,Jul,21,33,17,231.9,77,20.2,Yes
104,9,Aug,32,44,12,158.4,50,15.4,No
105,9,Sep,20,28,15,131.7,32,19.8,No
106,9,Oct,29,38,11,362.1,48,12.2,Yes
107,9,Nov,17,42,24,152.8,64,7.7,No
108,9,Dec,21,31,9,319.8,76,11.1,No
109,10,Jan,18,32,17,160.4,44,12.4,Yes
110,10,Feb,18,35,22,75.5,59,10.4,Yes
111,10,Mar,30,39,12,159.2,63,22.6,Yes
112,10,Apr,23,29,23,83.6,32,7.2,Yes
113,10,May,24,29,7,108.7,68,13.0,No
114,10,Jun,32,32,5,137.0,65,24.8,Yes
115,10,Jul,28,37,14,380.3,61,16.6,Yes
116,10,Aug,30,42,12,455.4,40,22.5,No
117,10,Sep,26,30,17,418.0,30,29.7,Yes
118,10,Oct,25,38,14,50.1,68,18.2,Yes
119,10,Nov,32,34,23,290.2,44,28.8,Yes
120,10,Dec,32,41,14,228.0,70,12.5,Yes
121,11,Jan,23,38,17,21.8,67,19.4,Yes
122,11,Feb,33,27,18,168.4,70,23.7,Yes
123,11,Mar,30,42,6,109.9,46,19.5,No
124,11,Apr,16,26,13,374.3,50,28.7,Yes
125,11,May,26,33,11,223.5,55,12.0,Yes
126,11,Jun,26,44,13,22.5,58,16.6,Yes
127,11,Jul,25,36,7,247.8,51,18.9,Yes
128,11,Aug,16,37,8,498.4,52,11.4,No
129,11,Sep,17,41,18,280.5,40,10.2,Yes
130,11,Oct,16,26,9,155.7,55,23.8,Yes
131,11,Nov,34,34,24,284.7,56,23.6,No
132,11,Dec,20,35,6,248.3,50,16.9,Yes
133,12,Jan,18,37,22,439.5,54,22.9,No
134,12,Feb,33,41,5,155.3,30,6.0,No
135,12,Mar,29,42,11,122.0,61,22.9,No
136,12,Apr,18,25,5,199.6,30,26.7,No
137,12,May,29,30,6,254.6,74,6.9,Yes
138,12,Jun,25,43,12,215.9,45,21.6,Yes
139,12,Jul,29,41,15,4.2,44,29.1,No
140,12,Aug,33,32,19,153.0,34,6.1,No
141,12,Sep,26,37,13,487.6,57,22.8,No
142,12,Oct,26,25,24,289.5,59,21.0,Yes
143,12,Nov,31,28,18,366.4,32,16.2,Yes
144,12,Dec,25,34,6,66.3,33,24.5,No
145,13,Jan,22,38,8,289.0,58,23.1,No
146,13,Feb,18,27,24,483.5,52,28.5,No
147,13,Mar,30,44,12,408.2,42,19.2,No
148,13,Apr,34,40,8,46.2,67,19.7,Yes
149,13,May,27,29,19,169.9,36,11.1,Yes
150,13,Jun,32,34,22,459.8,68,23.5,Yes
151,13,Jul,19,25,18,46.7,54,7.4,Yes
152,13,Aug,31,30,19,335.3,77,14.0,Yes
153,13,Sep,29,27,10,157.1,37,12.2,Yes
154,13,Oct,27,44,19,395.1,53,18.3,No
155,13,Nov,20,25,6,404.6,42,19.6,Yes
156,13,Dec,18,26,24,227.2,78,13.3,Yes
157,14,Jan,26,25,5,213.3,46,8.5,No
158,14,Feb,23,36,8,84.9,36,8.0,Yes
159,14,Mar,15,25,24,148.9,71,14.9,Yes
160,14,Apr,29,27,13,168.5,42,6.7,Yes
161,14,May,21,35,15,487.4,42,7.4,Yes
162,14,Jun,33,43,23,390.0,51,10.7,No
163,14,Jul,28,36,15,101.6,77,20.4,No
164,14,Aug,19,40,16,121.4,67,10.8,No
165,14,Sep,18,37,14,225.2,43,5.5,Yes
166,14,Oct,32,27,21,407.8,53,9.1,No
167,14,Nov,30,29,8,259.0,74,7.3,Yes
168,14,Dec,26,25,24,185.0,70,13.4,No
169,15,Jan,26,32,22,341.9,72,6.2,Yes
170,15,Feb,16,27,8,164.6,39,28.9,Yes
171,15,Mar,16,36,9,423.6,52,19.7,Yes
172,15,Apr,26,36,20,309.3,39,11.2,Yes
173,15,May,18,43,15,215.5,31,16.2,Yes
174,15,Jun,23,32,24,286.4,50,15.7,Yes
175,15,Jul,17,29,13,387.4,33,5.9,Yes
176,15,Aug,29,26,17,202.9,36,5.1,Yes
177,15,Sep,21,42,24,40.0,34,23.0,No
178,15,Oct,22,33,19,452.2,34,24.8,No
179,15,Nov,15,39,22,437.1,30,20.6,No
180,15,Dec,25,37,6,35.4,69,22.6,Yes
181,16,Jan,26,35,10,30.2,31,19.1,Yes
182,16,Feb,17,42,5,169.3,30,29.0,No
183,16,Mar,20,40,16,393.1,59,18.9,No
184,16,Apr,16,31,15,226.6,32,20.3,Yes
185,16,May,31,40,7,404.2,76,21.0,Yes
186,16,Jun,24,44,13,254.9,75,25.3,Yes
187,16,Jul,20,29,7,289.4,38,9.7,No
188,16,Aug,25,36,7,488.6,67,20.9,Yes
189,16,Sep,27,43,11,478.9,64,28.0,Yes
190,16,Oct,32,32,13,335.6,71,19.7,Yes
191,16,Nov,32,26,7,144.5,48,6.7,Yes
192,16,Dec,28,37,13,317.1,71,26.2,Yes
193,17,Jan,33,29,15,436.5,65,6.2,No
194,17,Feb,32,42,5,56.4,31,12.5,Yes
195,17,Mar,18,25,23,213.3,30,28.9,Yes
196,17,Apr,18,31,11,447.8,79,6.9,Yes
197,17,May,24,38,18,380.0,40,16.3,Yes
198,17,Jun,33,31,22,461.6,72,29.7,Yes
199,17,Jul,16,28,14,116.1,62,7.9,No
200,17,Aug,24,37,5,307.8,38,20.0,Yes
201,17,Sep,32,25,7,324.2,78,24.5,Yes
202,17,Oct,20,41,12,243.7,36,6.8,Yes
203,17,Nov,22,33,19,259.7,76,14.8,No
204,17,Dec,32,25,11,273.6,73,25.1,Yes
205,18,Jan,30,40,9,223.3,67,14.1,No
206,18,Feb,30,33,17,212.3,55,20.1,Yes
207,18,Mar,22,28,23,301.9,66,6.8,Yes
208,18,Apr,15,44,13,216.9,36,9.7,No
209,18,May,31,37,16,426.0,37,25.1,No
210,18,Jun,27,35,12,251.3,74,8.3,Yes
211,18,Jul,22,41,17,466.9,61,24.4,Yes
212,18,Aug,21,27,23,491.6,38,17.3,No
213,18,Sep,29,25,10,37.6,54,16.7,No
214,18,Oct,17,41,20,167.7,78,11.4,Yes
215,18,Nov,23,36,23,55.7,54,16.8,Yes
216,18,Dec,28,38,10,264.8,31,29.8,No
217,19,Jan,18,40,18,337.0,70,7.3,No
218,19,Feb,20,25,11,104.7,69,24.4,Yes
219,19,Mar,15,31,17,3.9,62,19.9,No
220,19,Apr,28,28,16,495.1,46,15.3,Yes
221,19,May,34,44,16,34.3,39,14.1,Yes
222,19,Jun,22,33,24,20.4,35,14.8,Yes
223,19,Jul,23,35,20,243.9,44,23.2,Yes
224,19,Aug,21,36,8,298.9,35,12.3,No
225,19,Sep,17,41,15,202.1,61,16.7,No
226,19,Oct,29,41,22,215.5,41,14.6,Yes
227,19,Nov,30,39,19,312.8,73,11.8,Yes
228,19,Dec,23,28,9,359.8,37,25.5,Yes
229,20,Jan,28,29,20,107.8,32,15.0,Yes
230,20,Feb,29,42,12,484.7,31,5.2,Yes
231,20,Mar,22,28,23,56.3,47,21.4,No
232,20,Apr,15,44,19,441.2,73,9.5,Yes
233,20,May,15,31,6,396.6,60,29.3,No
234,20,Jun,33,25,5,432.4,79,25.3,No
235,20,Jul,19,33,16,97.0,40,26.4,No
236,20,Aug,24,26,11,248.4,31,25.3,Yes
237,20,Sep,23,32,15,168.7,49,6.3,Yes
238,20,Oct,29,26,5,177.7,74,24.1,Yes
239,20,Nov,19,27,8,142.4,45,28.4,Yes
240,20,Dec,34,27,10,263.6,45,5.4,Yes
241,21,Jan,29,30,6,228.1,78,5.4,Yes
242,21,Feb,18,44,20,130.4,55,29.0,No
243,21,Mar,24,36,13,413.7,41,20.0,No
244,21,Apr,28,26,20,371.9,64,20.9,No
245,21,May,32,28,19,35.9,71,10.4,Yes
246,21,Jun,19,44,16,282.7,41,10.3,Yes
247,21,Jul,32,41,23,0.7,63,19.3,Yes
248,21,Aug,27,29,10,416.1,66,18.9,Yes
249,21,Sep,25,31,22,31.5,39,5.4,No
250,21,Oct,29,39,16,165.8,79,12.6,No
251,21,Nov,26,28,17,116.0,45,8.9,Yes
252,21,Dec,29,36,9,347.5,79,16.5,Yes
253,22,Jan,20,36,22,150.3,49,14.0,No
254,22,Feb,32,38,7,485.0,56,24.1,Yes
255,22,Mar,17,31,10,297.4,30,8.4,Yes
256,22,Apr,34,42,13,340.8,33,15.0,Yes
257,22,May,22,39,19,415.1,51,14.6,No
258,22,Jun,34,40,7,105.8,31,6.6,No
259,22,Jul,19,26,23,258.1,63,7.3,Yes
260,22,Aug,34,42,24,313.3,43,24.1,Yes
261,22,Sep,25,31,16,93.4,31,14.4,Yes
262,22,Oct,29,35,10,100.7,71,13.0,Yes
263,22,Nov,21,35,18,391.5,45,29.7,Yes
264,22,Dec,18,25,19,232.3,34,11.8,Yes
265,23,Jan,26,39,13,95.9,70,13.3,Yes
266,23,Feb,27,28,17,330.9,74,11.4,No
267,23,Mar,19,30,9,399.6,34,22.0,Yes
268,23,Apr,34,32,13,262.7,49,20.3,Yes
269,23,May,25,29,13,392.5,56,19.7,Yes
270,23,Jun,15,27,7,192.9,59,23.1,No
271,23,Jul,29,30,18,329.8,78,17.4,No
272,23,Aug,23,35,17,49.3,48,7.4,No
273,23,Sep,30,33,24,453.4,61,20.9,Yes
274,23,Oct,17,37,15,116.8,71,14.8,No
275,23,Nov,32,42,11,347.7,77,24.4,Yes
276,23,Dec,15,43,7,235.4,65,8.2,No
277,24,Jan,33,41,21,447.8,43,24.4,No
278,24,Feb,17,32,14,493.2,69,7.0,No
279,24,Mar,21,33,16,321.4,38,28.5,No
280,24,Apr,24,28,13,239.5,34,19.4,Yes
281,24,May,22,34,15,281.4,49,18.4,Yes
282,24,Jun,24,31,13,283.9,71,22.0,Yes
283,24,Jul,28,41,17,205.5,53,7.1,No
284,24,Aug,22,36,5,470.9,47,10.8,Yes
285,24,Sep,27,34,19,396.9,32,20.1,Yes
286,24,Oct,25,44,10,418.0,78,9.0,Yes
287,24,Nov,16,30,9,431.7,31,23.8,No
288,24,Dec,28,32,18,364.4,77,16.0,Yes
289,25,Jan,20,39,21,460.7,61,20.4,Yes
290,25,Feb,29,36,23,113.8,71,17.9,Yes
291,25,Mar,16,28,13,125.3,74,25.9,Yes
292,25,Apr,33,43,20,129.4,37,6.1,No
293,25,May,17,35,22,238.2,56,16.4,No
294,25,Jun,20,39,18,320.2,44,18.8,No
295,25,Jul,31,43,21,262.5,55,25.9,Yes
296,25,Aug,19,28,16,453.6,60,28.2,Yes
297,25,Sep,32,41,14,153.0,40,14.8,Yes
298,25,Oct,16,33,23,465.4,31,23.4,Yes
299,25,Nov,19,35,11,291.4,62,9.7,Yes
300,25,Dec,24,32,12,375.0,35,5.5,No
301,26,Jan,29,25,24,401.0,34,21.4,Yes
302,26,Feb,34,38,12,257.0,30,8.8,Yes
303,26,Mar,19,44,23,313.8,30,12.7,No
304,26,Apr,25,31,21,305.7,58,25.5,No
305,26,May,32,42,14,462.2,52,10.2,No
306,26,Jun,29,44,8,9.2,30,25.0,No
307,26,Jul,28,43,22,179.6,35,29.4,No
308,26,Aug,19,31,5,97.2,30,11.9,No
309,26,Sep,34,27,5,29.0,74,23.6,Yes
310,26,Oct,20,30,12,305.7,52,12.4,No
311,26,Nov,19,27,8,89.3,75,29.0,Yes
312,26,Dec,24,40,21,145.7,73,28.3,No
313,27,Jan,32,44,10,300.2,52,28.7,No
314,27,Feb,27,36,24,328.3,32,22.2,Yes
315,27,Mar,24,41,19,445.9,33,8.7,Yes
316,27,Apr,31,25,11,442.0,47,18.4,Yes
317,27,May,29,31,21,263.8,35,10.2,Yes
318,27,Jun,25,41,22,167.1,55,15.0,Yes
319,27,Jul,34,32,15,265.6,60,21.6,Yes
320,27,Aug,23,25,5,37.7,73,18.2,Yes
321,27,Sep,34,36,21,273.3,79,12.4,Yes
322,27,Oct,28,39,13,57.0,39,7.0,Yes
323,27,Nov,33,41,15,280.8,79,9.2,Yes
324,27,Dec,32,44,22,435.9,32,27.2,No
325,28,Jan,19,39,18,19.5,38,26.6,Yes
326,28,Feb,24,32,24,276.4,41,12.3,Yes
327,28,Mar,23,27,23,266.1,35,17.7,Yes
328,28,Apr,19,38,6,124.3,73,14.0,Yes
329,28,May,34,39,24,400.3,54,27.0,Yes
330,28,Jun,32,29,16,84.9,67,12.1,Yes
331,28,Jul,20,36,19,55.2,63,10.4,Yes
332,28,Aug,27,28,10,424.7,50,12.8,Yes
333,28,Sep,21,39,21,446.6,67,30.0,No
334,28,Oct,22,40,9,99.7,75,8.4,Yes
335,28,Nov,17,38,11,118.8,30,7.8,Yes
336,28,Dec,30,37,10,80.4,50,5.9,No
337,29,Jan,16,43,24,32.6,69,26.3,No
338,29,Feb,34,26,19,155.3,64,27.7,Yes
339,29,Mar,28,27,5,191.8,63,8.9,No
340,29,Apr,18,37,13,487.2,79,24.7,Yes
341,29,May,30,27,15,308.8,77,9.5,Yes
342,29,Jun,17,28,17,18.1,70,21.0,Yes
343,29,Jul,30,44,9,291.1,39,23.7,Yes
344,29,Aug,34,42,15,1.8,73,11.4,Yes
345,29,Sep,15,34,5,237.8,68,7.5,No
346,29,Oct,31,27,20,182.9,47,20.9,Yes
347,29,Nov,25,44,13,476.8,37,10.2,Yes
348,29,Dec,15,39,22,75.1,75,8.8,Yes
349,30,Jan,22,27,23,293.4,76,14.6,No
350,30,Feb,23,40,17,97.2,70,14.0,Yes
351,30,Mar,29,30,15,190.8,37,21.9,Yes
352,30,Apr,31,42,8,135.9,76,25.4,Yes
353,30,May,22,44,11,136.5,48,26.4,Yes
354,30,Jun,28,40,18,171.5,58,24.0,Yes
355,30,Jul,28,38,24,84.9,64,27.7,Yes
356,30,Aug,23,37,12,488.7,58,16.5,No
357,30,Sep,16,44,19,187.5,71,25.9,No
358,30,Oct,33,31,17,86.8,30,6.1,No
359,30,Nov,28,25,20,364.4,65,13.3,Yes
360,30,Dec,22,27,11,21.7,31,27.8,Yes
361,31,Jan,21,44,22,433.4,53,22.6,No
362,31,Feb,22,26,6,131.6,62,29.9,Yes
363,31,Mar,27,43,15,33.2,68,16.8,No
364,31,Apr,30,39,24,363.4,52,21.8,Yes
365,31,May,17,28,16,0.9,60,7.1,No
366,31,Jun,24,30,10,457.4,33,22.6,No
367,31,Jul,22,31,23,49.5,74,18.4,Yes
368,31,Aug,16,34,17,280.9,40,25.8,Yes
369,31,Sep,19,27,23,276.7,34,16.8,No
370,31,Oct,23,41,12,93.6,34,26.2,No
371,31,Nov,17,30,18,479.5,72,12.6,No
372,31,Dec,29,36,10,40.5,45,29.9,Yes
373,32,Jan,17,27,9,178.2,78,7.5,No
374,32,Feb,21,39,11,270.9,59,21.3,Yes
375,32,Mar,34,33,13,315.8,39,5.8,Yes
376,32,Apr,34,33,23,470.3,44,14.0,Yes
377,32,May,22,34,14,435.4,38,16.0,No
378,32,Jun,18,27,14,54.7,52,26.3,Yes
379,32,Jul,24,26,13,103.7,63,28.3,No
380,32,Aug,18,42,16,481.1,38,18.2,No
381,32,Sep,31,26,12,169.6,68,13.4,No
382,32,Oct,31,31,24,157.8,52,13.5,No
383,32,Nov,20,36,19,47.4,67,28.7,No
384,32,Dec,23,32,18,162.7,37,9.6,No
385,33,Jan,20,27,7,10.7,58,18.6,Yes
386,33,Feb,32,33,19,300.7,55,26.3,Yes
387,33,Mar,32,28,17,450.7,67,24.3,No
388,33,Apr,34,29,24,278.8,43,23.0,No
389,33,May,29,43,5,117.2,79,28.6,Yes
390,33,Jun,28,33,12,485.6,45,12.8,Yes
391,33,Jul,20,41,20,307.9,75,22.6,No
392,33,Aug,25,28,20,57.7,30,17.5,No
393,33,Sep,16,33,17,366.0,77,22.0,No
394,33,Oct,18,34,7,285.7,70,21.3,Yes
395,33,Nov,22,39,17,155.6,69,6.0,No
396,33,Dec,27,40,13,196.4,34,11.2,No
397,34,Jan,22,33,13,339.7,69,15.9,Yes
398,34,Feb,31,40,8,250.9,59,16.2,Yes
399,34,Mar,34,41,19,362.3,49,10.8,Yes
400,34,Apr,25,42,9,203.0,79,14.3,No
401,34,May,27,40,10,1.3,77,16.9,Yes
402,34,Jun,18,26,13,309.6,37,10.8,Yes
403,34,Jul,16,30,9,167.8,63,9.0,Yes
404,34,Aug,20,36,21,154.3,77,22.5,Yes
405,34,Sep,16,26,11,115.6,62,28.5,Yes
406,34,Oct,23,34,21,240.5,68,23.3,Yes
407,34,Nov,29,28,8,235.2,73,13.6,Yes
408,34,Dec,21,30,16,177.3,50,20.9,Yes
409,35,Jan,15,25,10,35.7,34,27.0,Yes
410,35,Feb,29,37,16,365.3,33,22.9,No
411,35,Mar,24,37,16,387.2,44,22.1,Yes
412,35,Apr,22,39,17,138.0,50,14.8,Yes
413,35,May,22,42,13,197.0,47,23.7,Yes
414,35,Jun,20,32,11,193.8,43,16.4,Yes
415,35,Jul,26,31,11,246.9,42,15.5,Yes
416,35,Aug,25,32,24,146.0,37,29.4,No
417,35,Sep,17,39,18,160.9,53,19.5,Yes
418,35,Oct,30,28,6,221.2,75,16.6,Yes
419,35,Nov,21,34,5,13.4,54,26.9,Yes
420,35,Dec,16,27,18,347.3,77,29.6,Yes
421,36,Jan,17,40,5,495.8,75,11.0,Yes
422,36,Feb,23,31,18,83.7,70,16.1,Yes
423,36,Mar,31,36,10,47.2,50,28.2,Yes
424,36,Apr,23,32,8,323.5,75,28.2,Yes
425,36,May,21,36,10,247.5,48,9.9,No
426,36,Jun,16,32,23,483.1,57,11.7,Yes
427,36,Jul,33,34,10,471.2,74,19.0,Yes
428,36,Aug,18,43,23,41.6,42,15.6,No
429,36,Sep,24,31,9,432.4,72,25.0,Yes
430,36,Oct,32,30,22,26.9,30,21.5,Yes
431,36,Nov,34,29,20,276.5,48,27.5,No
432,36,Dec,19,41,22,364.2,51,25.1,No
433,37,Jan,27,43,14,31.9,50,23.4,No
434,37,Feb,26,35,11,476.9,36,16.4,Yes
435,37,Mar,25,36,20,14.9,56,12.1,Yes
436,37,Apr,26,32,7,497.6,67,21.8,No
437,37,May,29,38,6,387.0,43,12.4,No
438,37,Jun,16,33,13,79.8,56,10.9,No
439,37,Jul,26,25,13,52.7,35,18.9,No
440,37,Aug,24,43,10,285.1,37,16.8,Yes
441,37,Sep,15,39,17,189.1,32,11.2,No
442,37,Oct,30,37,23,163.0,50,30.0,Yes
443,37,Nov,15,44,12,212.3,68,17.1,No
444,37,Dec,18,31,11,204.0,55,20.2,No
445,38,Jan,26,39,12,90.7,32,5.5,Yes
446,38,Feb,29,28,24,288.7,45,16.2,Yes
447,38,Mar,19,35,17,237.8,77,17.3,No
448,38,Apr,16,36,20,249.6,78,22.0,Yes
449,38,May,19,34,21,280.0,38,18.7,Yes
450,38,Jun,30,35,11,124.8,74,5.4,No
451,38,Jul,24,36,6,127.2,38,27.4,Yes
452,38,Aug,28,31,11,450.0,43,12.2,Yes
453,38,Sep,28,37,18,226.6,55,17.0,Yes
454,38,Oct,16,43,11,256.1,34,12.1,No
455,38,Nov,30,39,12,397.2,30,6.0,Yes
456,38,Dec,28,38,14,236.3,60,28.7,No
457,39,Jan,19,39,19,473.0,34,26.6,Yes
458,39,Feb,20,32,6,279.9,52,29.5,Yes
459,39,Mar,30,38,19,392.7,74,12.8,No
460,39,Apr,22,44,22,449.5,61,16.6,Yes
461,39,May,30,37,8,473.6,75,15.4,No
462,39,Jun,28,38,18,49.8,54,13.0,Yes
463,39,Jul,17,41,18,68.0,33,8.4,Yes
464,39,Aug,16,35,6,392.6,60,21.4,Yes
465,39,Sep,21,34,10,496.4,42,23.3,No
466,39,Oct,32,26,20,338.2,67,10.9,No
467,39,Nov,32,25,23,92.0,68,25.5,Yes
468,39,Dec,23,26,21,187.9,71,17.3,No
469,40,Jan,22,29,16,95.4,42,18.3,Yes
470,40,Feb,17,36,5,439.7,79,13.5,No
471,40,Mar,34,43,21,348.6,64,10.4,No
472,40,Apr,32,42,18,131.2,62,25.5,Yes
473,40,May,15,41,14,418.6,54,20.7,Yes
474,40,Jun,30,39,17,482.4,43,29.4,Yes
475,40,Jul,19,40,19,298.4,38,8.2,No
476,40,Aug,30,35,10,61.6,37,27.7,Yes
477,40,Sep,33,33,20,156.0,57,8.1,No
478,40,Oct,32,39,8,123.6,58,28.6,No
479,40,Nov,29,26,18,93.7,57,16.7,No
480,40,Dec,15,33,21,335.9,30,20.6,Yes
481,41,Jan,33,27,16,256.1,46,14.5,No
482,41,Feb,21,29,12,228.1,77,25.6,Yes
483,41,Mar,19,35,14,205.8,70,26.7,No
484,41,Apr,17,26,8,204.1,72,23.8,Yes
485,41,May,24,32,17,250.2,41,6.1,No
486,41,Jun,22,39,17,321.6,67,18.2,No
487,41,Jul,34,25,15,173.0,69,28.8,Yes
488,41,Aug,26,30,12,126.8,77,21.7,No
489,41,Sep,24,44,18,220.1,58,26.0,No
490,41,Oct,30,28,6,380.3,32,19.9,No
491,41,Nov,32,39,13,127.4,79,20.5,Yes
492,41,Dec,22,27,6,258.2,48,26.4,No
493,42,Jan,27,44,21,236.8,34,24.0,No
494,42,Feb,30,40,15,171.7,44,8.6,Yes
495,42,Mar,30,29,16,415.8,35,5.6,Yes
496,42,Apr,21,26,10,154.9,63,9.6,Yes
497,42,May,18,40,22,390.5,66,12.0,No
498,42,Jun,27,29,22,458.8,61,29.0,No
499,42,Jul,34,41,20,498.8,56,29.3,Yes
500,42,Aug,22,25,13,370.8,70,21.2,No
501,42,Sep,25,25,24,466.8,69,19.6,Yes
502,42,Oct,24,28,19,465.4,56,22.1,No
503,42,Nov,17,26,8,379.9,55,14.9,Yes
504,42,Dec,25,38,14,198.4,50,11.5,No
505,43,Jan,16,31,23,420.8,37,8.0,No
506,43,Feb,17,30,23,133.8,32,15.6,Yes
507,43,Mar,24,32,16,455.2,32,21.3,Yes
508,43,Apr,15,38,17,250.3,64,29.5,Yes
509,43,May,24,25,10,168.4,76,10.2,Yes
510,43,Jun,21,26,18,287.5,34,13.8,No
511,43,Jul,24,38,21,231.7,57,7.5,Yes
512,43,Aug,33,34,20,209.7,38,12.2,Yes
